chain_rank,source_book,source_ref,source_idx,target_book,target_ref,target_idx,source_token_count,target_token_count,score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,weighted_jaccard,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens,source_text_critical_status
164,Mark,Mark 14:12,547,Luke,Luke 22:9,979,15,5,0.3013,0.2667,0.2667,0.1111,0.0,0.2478,4,0.8,2,που θελεισ,4,αυτω ετοιμασωμεν θελεισ που,main_text
165,Mark,Mark 14:13,548,Luke,Luke 22:10,980,14,16,0.4664,0.4737,0.4737,0.4286,0.3077,0.4224,9,0.6429,6,ανθρωποσ κεραμιον υδατοσ βασταζων ακολουθησατε αυτω,9,ακολουθησατε ανθρωποσ αυτοισ αυτω βασταζων εισ κεραμιον πολιν υδατοσ,main_text
166,Mark,Mark 14:14,549,Luke,Luke 22:11,981,12,12,0.6555,0.6429,0.6429,0.6364,0.6,0.6378,9,0.75,8,διδασκαλοσ που εστιν καταλυμα οπου πασχα μαθητων φαγω,9,διδασκαλοσ εστιν καταλυμα μαθητων οικοδεσποτη οπου πασχα που φαγω,main_text
167,Mark,Mark 14:15,550,Luke,Luke 22:12,982,8,7,0.6457,0.6667,0.6667,0.6154,0.3636,0.678,6,0.8571,4,δειξει αναγαιον μεγα εστρωμενον,6,αναγαιον δειξει εκει εστρωμενον ετοιμασατε μεγα,main_text
168,Mark,Mark 14:16,551,Luke,Luke 22:13,983,10,7,0.4327,0.4167,0.4167,0.4,0.1538,0.4138,5,0.7143,3,αυτοισ ητοιμασαν πασχα,5,αυτοισ ευρον ητοιμασαν καθωσ πασχα,main_text
169,Mark,Mark 14:22,557,Luke,Luke 22:19,989,11,15,0.446,0.4706,0.4706,0.4167,0.1818,0.3985,8,0.7273,3,εκλασεν εδωκεν αυτοισ,8,αρτον αυτοισ εδωκεν εκλασεν εστιν λαβων σωμα τουτο,main_text
170,Mark,Mark 14:26,561,Luke,Luke 22:39,1009,5,9,0.3577,0.2727,0.2727,0.3333,0.2,0.2386,3,0.6,3,εισ οροσ ελαιων,3,εισ ελαιων οροσ,main_text
171,Mark,Mark 14:36,571,Luke,Luke 22:42,1012,10,12,0.2811,0.375,0.375,0.1,0.0,0.3219,5,0.5,2,απ εμου,6,αλλα απ εμου παρενεγκε ποτηριον τουτο,main_text
172,Mark,Mark 14:38,573,Luke,Luke 22:46,1016,9,7,0.2234,0.2308,0.2308,0.1429,0.0,0.1938,3,0.4286,2,εισ πειρασμον,3,εισ πειρασμον προσευχεσθε,main_text
173,Mark,Mark 14:43,578,Luke,Luke 22:47,1017,14,13,0.2642,0.2857,0.2857,0.24,0.087,0.2486,5,0.3846,3,ιουδασ εισ δωδεκα,6,δωδεκα εισ ετι ιουδασ λαλουντοσ οχλοσ,main_text
174,Mark,Mark 14:47,582,Luke,Luke 22:50,1020,10,8,0.2941,0.3846,0.3846,0.125,0.0,0.3041,4,0.5,2,εισ τισ,5,αρχιερεωσ αφειλεν δουλον εισ τισ,main_text
175,Mark,Mark 14:48,583,Luke,Luke 22:52,1022,9,14,0.4226,0.3529,0.3529,0.381,0.3158,0.3625,6,0.6667,5,ωσ ληστην εξηλθατε μαχαιρων ξυλων,6,εξηλθατε ιησουσ ληστην μαχαιρων ξυλων ωσ,main_text
176,Mark,Mark 14:72,607,Luke,Luke 22:61,1031,18,15,0.2781,0.32,0.32,0.1935,0.069,0.2897,7,0.4667,3,πριν αλεκτορα φωνησαι,8,αλεκτορα απαρνηση αυτω πετροσ πριν τρισ φωνησαι ωσ,main_text
177,Mark,Mark 15:2,609,Luke,Luke 23:3,1044,7,8,0.6114,0.6667,0.6667,0.4615,0.3636,0.6078,6,0.8571,4,βασιλευσ ιουδαιων αποκριθεισ αυτω,6,αποκριθεισ αυτω βασιλευσ ιουδαιων λεγεισ πιλατοσ,main_text
178,Mark,Mark 15:21,628,Luke,Luke 23:26,1066,12,14,0.3451,0.3,0.3,0.3333,0.2727,0.2905,6,0.5,5,σιμωνα κυρηναιον ερχομενον απ αγρου,6,αγρου απ ερχομενον κυρηναιον σιμωνα σταυρον,main_text
179,Mark,Mark 15:26,633,Luke,Luke 23:38,1078,6,6,0.3,0.3333,0.3333,0.2,0.0,0.3664,3,0.5,2,βασιλευσ ιουδαιων,3,βασιλευσ επιγραφη ιουδαιων,main_text
180,Mark,Mark 15:30,636,Luke,Luke 23:39,1079,4,9,0.2433,0.1818,0.1818,0.1818,0.0,0.1838,2,0.5,2,σωσον σεαυτον,2,σεαυτον σωσον,main_text
181,Mark,Mark 15:33,639,Luke,Luke 23:44,1084,11,12,0.6525,0.5714,0.6923,0.6667,0.6316,0.5497,8,0.7273,8,σκοτοσ εγενετο εφ ολην γην εωσ ωρασ ενατησ,8,γην εγενετο ενατησ εφ εωσ ολην σκοτοσ ωρασ,main_text
182,Mark,Mark 15:38,644,Luke,Luke 23:45,1085,9,6,0.229,0.25,0.25,0.1538,0.0,0.2985,2,0.3333,2,καταπετασμα ναου,3,εσχισθη καταπετασμα ναου,main_text
183,Mark,Mark 15:43,649,Luke,Luke 23:52,1092,16,6,0.2566,0.1579,0.2222,0.2,0.1111,0.1538,3,0.5,3,ητησατο σωμα ιησου,3,ητησατο ιησου σωμα,main_text
