id,level,pair_count,avg_score,confidence,matt_start_ref,matt_end_ref,luke_start_ref,luke_end_ref,matt_span_verse_count,luke_span_verse_count,unmatched_matt_count,unmatched_luke_count,matt_token_count,luke_token_count,matt_tote,luke_tote,matt_simeron,luke_simeron,matt_kingdom_god,matt_kingdom_heaven,luke_kingdom_god,luke_kingdom_heaven,matt_present_indicative_ratio,luke_present_indicative_ratio
12,micro,3,0.286407,low,Matt 10:2,Matt 10:4,Luke 6:14,Luke 6:16,3,3,0,0,52,39,0,0,0,0,0,0,0,0,1.0,0.0
13,micro,1,0.139921,low,Matt 10:22,Matt 10:22,Luke 6:22,Luke 6:22,1,1,0,0,16,25,0,0,0,0,0,0,0,0,0.0,1.0
14,micro,1,0.508187,medium,Matt 10:24,Matt 10:24,Luke 6:40,Luke 6:40,1,1,0,0,12,14,0,0,0,0,0,0,0,0,1.0,0.5
15,micro,13,0.572213,high,Matt 11:2,Matt 11:19,Luke 7:18,Luke 7:34,18,17,5,4,265,295,0,0,0,0,0,2,1,0,0.5909,0.5
16,micro,1,0.177348,low,Matt 12:4,Matt 12:4,Luke 7:36,Luke 7:36,1,1,0,0,28,18,0,0,0,0,0,0,0,0,0.0,0.0
17,micro,2,0.123373,low,Matt 12:31,Matt 12:32,Luke 7:47,Luke 7:48,2,2,0,0,51,26,0,0,0,0,0,0,0,0,0.2,0.4286
18,micro,1,0.116847,low,Matt 12:45,Matt 12:45,Luke 8:2,Luke 8:2,1,1,0,0,33,20,1,0,0,0,0,0,0,0,0.8,0.0
19,micro,7,0.30853,low,Matt 13:2,Matt 13:11,Luke 8:4,Luke 8:10,10,7,3,0,149,126,0,0,0,0,0,1,1,0,0.0476,0.0
20,micro,5,0.181889,low,Matt 13:18,Matt 13:23,Luke 8:11,Luke 8:15,6,5,1,0,129,109,0,0,0,0,0,0,0,0,1.0,1.0
21,micro,1,0.121777,low,Matt 13:37,Matt 13:37,Luke 8:21,Luke 8:21,1,1,0,0,14,21,0,0,0,0,0,0,0,0,0.5,0.5
22,micro,1,0.131545,low,Matt 13:51,Matt 13:51,Luke 8:45,Luke 8:45,1,1,0,0,6,21,0,0,0,0,0,0,0,0,0.5,0.5
23,micro,1,0.295498,low,Matt 14:1,Matt 14:1,Luke 9:7,Luke 9:7,1,1,0,0,11,20,0,0,0,0,0,0,0,0,0.0,0.0
24,micro,5,0.316128,low,Matt 14:10,Matt 14:20,Luke 9:9,Luke 9:17,11,9,6,4,186,183,0,0,0,0,0,0,1,0,0.16,0.1481
25,micro,1,0.132575,low,Matt 15:10,Matt 15:10,Luke 9:18,Luke 9:18,1,1,0,0,9,23,0,0,0,0,0,0,0,0,0.0,0.25
26,micro,15,0.408117,medium,Matt 16:14,Matt 17:8,Luke 9:19,Luke 9:36,23,18,8,3,466,352,4,0,0,0,0,1,1,0,0.3654,0.2432
27,micro,4,0.381128,medium,Matt 17:16,Matt 17:22,Luke 9:40,Luke 9:44,6,5,2,1,119,101,1,0,0,0,0,0,0,0,0.1765,0.0714
28,micro,2,0.335568,low,Matt 18:2,Matt 18:5,Luke 9:47,Luke 9:48,4,2,2,0,59,49,0,0,0,0,0,2,0,0,0.5,0.6
29,micro,3,0.190414,low,Matt 18:10,Matt 18:13,Luke 15:3,Luke 15:7,3,5,0,2,75,89,0,0,0,0,0,0,0,0,0.8571,0.6667
30,micro,2,0.187476,low,Matt 18:14,Matt 18:15,Luke 17:2,Luke 17:3,2,2,0,0,40,36,0,0,0,0,0,0,0,0,0.5,0.6667
31,micro,1,0.230272,low,Matt 18:21,Matt 18:21,Luke 17:4,Luke 17:4,1,1,0,0,19,17,1,0,0,0,0,0,0,0,0.0,0.5
32,micro,1,0.148226,low,Matt 18:33,Matt 18:33,Luke 17:13,Luke 17:13,1,1,0,0,12,9,0,0,0,0,0,0,0,0,0.0,0.0
33,micro,2,0.137583,low,Matt 19:5,Matt 19:6,Luke 17:34,Luke 17:35,2,2,0,0,38,30,0,0,0,0,0,0,0,0,0.1667,0.1429
34,micro,13,0.317064,low,Matt 19:13,Matt 19:29,Luke 18:15,Luke 18:29,17,15,4,2,308,240,2,0,0,0,1,2,5,0,0.3182,0.3548
35,micro,2,0.250862,low,Matt 20:18,Matt 20:19,Luke 18:31,Luke 18:32,2,2,0,0,35,33,0,0,0,0,0,0,0,0,0.2,0.1429
36,micro,4,0.253163,low,Matt 20:30,Matt 20:34,Luke 18:38,Luke 18:43,5,6,1,2,70,77,0,0,0,0,0,0,0,0,0.2727,0.0833
37,micro,7,0.284656,low,Matt 21:1,Matt 21:11,Luke 19:29,Luke 19:39,11,11,4,4,190,173,1,0,0,0,0,0,0,0,0.1905,0.2
38,micro,3,0.358187,medium,Matt 21:12,Matt 21:15,Luke 19:45,Luke 20:1,4,5,1,2,83,85,0,0,0,0,0,0,0,0,0.1818,0.0
39,micro,5,0.469352,medium,Matt 21:23,Matt 21:27,Luke 20:2,Luke 20:8,5,7,0,2,116,94,0,0,0,0,0,0,0,0,0.3333,0.3333
40,micro,9,0.361405,medium,Matt 21:33,Matt 21:45,Luke 20:9,Luke 20:19,13,11,4,2,226,198,0,0,0,0,1,0,0,0,0.1579,0.0625
41,micro,12,0.37737,medium,Matt 22:16,Matt 22:32,Luke 20:21,Luke 20:37,17,17,5,5,259,241,1,0,0,0,0,0,0,0,0.4857,0.4706
42,micro,4,0.323064,low,Matt 22:41,Matt 22:45,Luke 20:40,Luke 20:44,5,5,1,1,62,53,0,0,0,0,0,0,0,0,0.7778,0.5714
43,micro,1,0.457752,medium,Matt 23:6,Matt 23:6,Luke 20:46,Luke 20:46,1,1,0,0,13,25,0,0,0,0,0,0,0,0,1.0,0.0
