luke_window_start_ref,luke_window_center_ref,luke_window_end_ref,rank,matt_window_start_ref,matt_window_center_ref,matt_window_end_ref,score
Luke 1:15,Luke 1:16,Luke 1:17,8,Matt 10:19,Matt 10:20,Matt 10:21,0.062276
Luke 1:15,Luke 1:16,Luke 1:17,9,Matt 22:37,Matt 22:38,Matt 22:39,0.061832
Luke 1:15,Luke 1:16,Luke 1:17,10,Matt 15:4,Matt 15:5,Matt 15:6,0.061693
Luke 1:16,Luke 1:17,Luke 1:18,1,Matt 10:20,Matt 10:21,Matt 10:22,0.067168
Luke 1:16,Luke 1:17,Luke 1:18,2,Matt 10:21,Matt 10:22,Matt 10:23,0.065033
Luke 1:16,Luke 1:17,Luke 1:18,3,Matt 10:19,Matt 10:20,Matt 10:21,0.061373
Luke 1:16,Luke 1:17,Luke 1:18,4,Matt 13:15,Matt 13:16,Matt 13:17,0.059352
Luke 1:16,Luke 1:17,Luke 1:18,5,Matt 1:20,Matt 1:21,Matt 1:22,0.058926
Luke 1:16,Luke 1:17,Luke 1:18,6,Matt 7:21,Matt 7:22,Matt 7:23,0.058863
Luke 1:16,Luke 1:17,Luke 1:18,7,Matt 22:42,Matt 22:43,Matt 22:44,0.05877
Luke 1:16,Luke 1:17,Luke 1:18,8,Matt 7:20,Matt 7:21,Matt 7:22,0.056696
Luke 1:16,Luke 1:17,Luke 1:18,9,Matt 1:19,Matt 1:20,Matt 1:21,0.056138
Luke 1:16,Luke 1:17,Luke 1:18,10,Matt 11:9,Matt 11:10,Matt 11:11,0.055962
Luke 1:17,Luke 1:18,Luke 1:19,1,Matt 10:19,Matt 10:20,Matt 10:21,0.082519
Luke 1:17,Luke 1:18,Luke 1:19,2,Matt 10:20,Matt 10:21,Matt 10:22,0.081275
Luke 1:17,Luke 1:18,Luke 1:19,3,Matt 11:9,Matt 11:10,Matt 11:11,0.077036
Luke 1:17,Luke 1:18,Luke 1:19,4,Matt 28:3,Matt 28:4,Matt 28:5,0.074737
Luke 1:17,Luke 1:18,Luke 1:19,5,Matt 28:4,Matt 28:5,Matt 28:6,0.073661
Luke 1:17,Luke 1:18,Luke 1:19,6,Matt 28:5,Matt 28:6,Matt 28:7,0.07214
Luke 1:17,Luke 1:18,Luke 1:19,7,Matt 11:10,Matt 11:11,Matt 11:12,0.070011
Luke 1:17,Luke 1:18,Luke 1:19,8,Matt 11:8,Matt 11:9,Matt 11:10,0.067293
Luke 1:17,Luke 1:18,Luke 1:19,9,Matt 16:14,Matt 16:15,Matt 16:16,0.065244
Luke 1:17,Luke 1:18,Luke 1:19,10,Matt 25:39,Matt 25:40,Matt 25:41,0.063598
Luke 1:18,Luke 1:19,Luke 1:20,1,Matt 26:61,Matt 26:62,Matt 26:63,0.095823
Luke 1:18,Luke 1:19,Luke 1:20,2,Matt 28:4,Matt 28:5,Matt 28:6,0.087909
Luke 1:18,Luke 1:19,Luke 1:20,3,Matt 28:3,Matt 28:4,Matt 28:5,0.086818
Luke 1:18,Luke 1:19,Luke 1:20,4,Matt 21:41,Matt 21:42,Matt 21:43,0.086545
Luke 1:18,Luke 1:19,Luke 1:20,5,Matt 28:5,Matt 28:6,Matt 28:7,0.086277
Luke 1:18,Luke 1:19,Luke 1:20,6,Matt 24:36,Matt 24:37,Matt 24:38,0.081012
Luke 1:18,Luke 1:19,Luke 1:20,7,Matt 21:42,Matt 21:43,Matt 21:44,0.078493
