luke_center_ref,matt_center_ref,luke_window_refs,matt_window_refs,rank,window_score
Luke 1:14,Matt 1:1,Luke 1:13 | Luke 1:14 | Luke 1:15,Matt 1:1 | Matt 1:2,2,0.085885
Luke 1:14,Matt 24:11,Luke 1:13 | Luke 1:14 | Luke 1:15,Matt 24:10 | Matt 24:11 | Matt 24:12,3,0.084933
Luke 1:14,Matt 5:12,Luke 1:13 | Luke 1:14 | Luke 1:15,Matt 5:11 | Matt 5:12 | Matt 5:13,4,0.079931
Luke 1:14,Matt 1:18,Luke 1:13 | Luke 1:14 | Luke 1:15,Matt 1:17 | Matt 1:18 | Matt 1:19,5,0.078572
Luke 1:14,Matt 25:23,Luke 1:13 | Luke 1:14 | Luke 1:15,Matt 25:22 | Matt 25:23 | Matt 25:24,6,0.073915
Luke 1:14,Matt 25:21,Luke 1:13 | Luke 1:14 | Luke 1:15,Matt 25:20 | Matt 25:21 | Matt 25:22,7,0.073915
Luke 1:14,Matt 18:13,Luke 1:13 | Luke 1:14 | Luke 1:15,Matt 18:12 | Matt 18:13 | Matt 18:14,8,0.062610
Luke 1:14,Matt 28:9,Luke 1:13 | Luke 1:14 | Luke 1:15,Matt 28:8 | Matt 28:9 | Matt 28:10,9,0.058433
Luke 1:14,Matt 28:8,Luke 1:13 | Luke 1:14 | Luke 1:15,Matt 28:5 | Matt 28:8 | Matt 28:9,10,0.054963
Luke 1:15,Matt 27:34,Luke 1:14 | Luke 1:15 | Luke 1:16,Matt 27:28 | Matt 27:34 | Matt 27:36,1,0.108496
Luke 1:15,Matt 22:38,Luke 1:14 | Luke 1:15 | Luke 1:16,Matt 22:36 | Matt 22:38 | Matt 22:40,2,0.100119
Luke 1:15,Matt 1:18,Luke 1:14 | Luke 1:15 | Luke 1:16,Matt 1:17 | Matt 1:18 | Matt 1:19,3,0.098550
Luke 1:15,Matt 19:12,Luke 1:14 | Luke 1:15 | Luke 1:16,Matt 19:11 | Matt 19:12 | Matt 19:15,4,0.088302
Luke 1:15,Matt 12:32,Luke 1:14 | Luke 1:15 | Luke 1:16,Matt 12:30 | Matt 12:32 | Matt 12:33,5,0.080393
Luke 1:15,Matt 26:42,Luke 1:14 | Luke 1:15 | Luke 1:16,Matt 26:25 | Matt 26:42 | Matt 26:52,6,0.079145
