pericope_id,unit_type,pair,block_id,block_label,matthew_range,mark_range,luke_range,john_range,pair_count,avg_score,evidence_origin,methodological_status,representative_primary_pairs,shared_features
Mark_Luke_block_loose_032,computational_synoptic_block,Mark↔Luke,loose_032,Mark 14:72–Mark 14:72 / Luke 22:61–Luke 22:61,,Mark 14:72–Mark 14:72,Luke 22:61–Luke 22:61,,1,0.2781,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 14:72~Luke 22:61,
Mark_Luke_block_loose_033,computational_synoptic_block,Mark↔Luke,loose_033,Mark 15:2–Mark 15:2 / Luke 23:3–Luke 23:3,,Mark 15:2–Mark 15:2,Luke 23:3–Luke 23:3,,1,0.6114,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 15:2~Luke 23:3,
Mark_Luke_block_loose_034,computational_synoptic_block,Mark↔Luke,loose_034,Mark 15:21–Mark 15:21 / Luke 23:26–Luke 23:26,,Mark 15:21–Mark 15:21,Luke 23:26–Luke 23:26,,1,0.3451,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 15:21~Luke 23:26,
Mark_Luke_block_loose_035,computational_synoptic_block,Mark↔Luke,loose_035,Mark 15:26–Mark 15:43 / Luke 23:38–Luke 23:52,,Mark 15:26–Mark 15:43,Luke 23:38–Luke 23:52,,5,0.3363,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 15:26~Luke 23:38; Mark 15:30~Luke 23:39; Mark 15:33~Luke 23:44; Mark 15:38~Luke 23:45; Mark 15:43~Luke 23:52,
Mark_Matthew_block_1,computational_synoptic_block,Mark↔Matthew,1,Mark Mark 1:3–Mark 1:6 / Matt Matt 3:3–Matt 3:4,Matt 3:3–Matt 3:4,Mark 1:3–Mark 1:6,,,2,0.661667,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 1:3~Matt 3:3; Mark 1:6~Matt 3:4,
Mark_Matthew_block_10,computational_synoptic_block,Mark↔Matthew,10,Mark Mark 4:14–Mark 4:20 / Matt Matt 13:18–Matt 13:23,Matt 13:18–Matt 13:23,Mark 4:14–Mark 4:20,,,6,0.489696,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 4:14~Matt 13:18; Mark 4:15~Matt 13:19; Mark 4:16~Matt 13:20; Mark 4:17~Matt 13:21; Mark 4:19~Matt 13:22,
Mark_Matthew_block_11,computational_synoptic_block,Mark↔Matthew,11,Mark Mark 4:31–Mark 4:34 / Matt Matt 13:31–Matt 13:34,Matt 13:31–Matt 13:34,Mark 4:31–Mark 4:34,,,3,0.242945,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 4:31~Matt 13:31; Mark 4:32~Matt 13:32; Mark 4:34~Matt 13:34,
Mark_Matthew_block_12,computational_synoptic_block,Mark↔Matthew,12,Mark Mark 6:2–Mark 6:5 / Matt Matt 13:54–Matt 13:58,Matt 13:54–Matt 13:58,Mark 6:2–Mark 6:5,,,4,0.414693,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 6:2~Matt 13:54; Mark 6:3~Matt 13:55; Mark 6:4~Matt 13:57; Mark 6:5~Matt 13:58,
Mark_Matthew_block_13,computational_synoptic_block,Mark↔Matthew,13,Mark Mark 6:14–Mark 7:3 / Matt Matt 14:2–Matt 15:2,Matt 14:2–Matt 15:2,Mark 6:14–Mark 7:3,,,30,0.376474,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 6:14~Matt 14:2; Mark 6:17~Matt 14:3; Mark 6:18~Matt 14:4; Mark 6:19~Matt 14:5; Mark 6:22~Matt 14:6,
Mark_Matthew_block_14,computational_synoptic_block,Mark↔Matthew,14,Mark Mark 7:9–Mark 7:29 / Matt Matt 15:3–Matt 15:28,Matt 15:3–Matt 15:28,Mark 7:9–Mark 7:29,,,15,0.384772,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 7:9~Matt 15:3; Mark 7:10~Matt 15:4; Mark 7:11~Matt 15:5; Mark 7:13~Matt 15:6; Mark 7:14~Matt 15:10,
