source_book,source_ref,source_idx,target_book,target_ref,target_idx,source_token_count,target_token_count,score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,weighted_jaccard,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens,source_text_critical_status,lemma_jaccard,lemma_bigram_dice,lemma_trigram_dice,lemma_lcs_len,lemma_lcs_ratio,lemma_max_exact_run_len,lemma_max_exact_run,lemma_shared_content_token_count,lemma_shared_content_tokens,lemma_score,lemma_minus_surface_score
Mark,Mark 1:41,41,Luke,Luke 6:10,263,7,9,0.0638,0.1429,0.1538,0.0,0.0,0.1004,0,0.0,0,,2,αυτω χειρα,main_text,0.2727,0.1538,0.0,2,0.2857,2,εκτεινω χειρ,3,εκτεινω λεγω χειρ,0.2368,0.173
Mark,Mark 10:51,421,Luke,Luke 4:12,182,9,7,0.2882,0.25,0.25,0.2857,0.1667,0.1451,3,0.4286,3,αποκριθεισ αυτω ιησουσ,3,αποκριθεισ αυτω ιησουσ,main_text,0.25,0.1333,0.0,3,0.375,2,ιησουσ λεγω,3,αποκρινομαι ιησουσ λεγω,0.2365,-0.0517
Mark,Mark 11:6,428,Luke,Luke 23:34,1074,6,10,0.0609,0.1429,0.1429,0.0,0.0,0.0749,0,0.0,0,,2,αυτοισ ιησουσ,main_text,0.2727,0.0,0.0,2,0.5,1,λεγω,3,αφιημι ιησουσ λεγω,0.2364,0.1755
Mark,Mark 7:37,284,Luke,Luke 6:27,280,11,12,0.0526,0.1,0.1579,0.0,0.0,0.0787,0,0.0,0,,2,καλωσ τουσ,main_text,0.2857,0.0,0.0,3,0.4286,1,λεγω,4,ακουω καλωσ λεγω ποιεω,0.2364,0.1838
Mark,Mark 10:14,384,Luke,Luke 18:29,823,13,15,0.033,0.0769,0.0769,0.0,0.0,0.0441,0,0.0,0,,2,αυτοισ εστιν,main_text,0.2778,0.0909,0.0,4,0.3333,2,βασιλεια θεοσ,5,αφιημι βασιλεια ειμι θεοσ λεγω,0.2358,0.2028
Mark,Mark 11:22,444,Luke,Luke 17:6,764,5,13,0.181,0.125,0.125,0.125,0.0,0.1192,2,0.4,2,εχετε πιστιν,2,εχετε πιστιν,main_text,0.2143,0.125,0.0,3,0.5,2,εχω πιστισ,3,εχω λεγω πιστισ,0.2355,0.0545
Mark,Mark 4:40,148,Luke,Luke 17:6,764,6,13,0.1593,0.1176,0.1176,0.1176,0.0,0.1069,2,0.3333,2,εχετε πιστιν,2,εχετε πιστιν,main_text,0.2143,0.125,0.0,3,0.5,2,εχω πιστισ,3,εχω λεγω πιστισ,0.2355,0.0762
Mark,Mark 1:2,2,Luke,Luke 3:4,136,12,15,0.0496,0.08,0.1739,0.0,0.0,0.0704,0,0.0,0,,2,γεγραπται οδον,main_text,0.2222,0.1,0.0,4,0.5,2,ησαιασ προφητησ,4,γραφω ησαιασ οδοσ προφητησ,0.2355,0.1859
Mark,Mark 7:5,253,Luke,Luke 5:30,244,12,11,0.1149,0.0952,0.15,0.0952,0.0,0.0814,2,0.1818,2,φαρισαιοι γραμματεισ,2,γραμματεισ φαρισαιοι,main_text,0.2353,0.1053,0.0,4,0.4444,2,φαρισαιοσ γραμματευσ,4,γραμματευσ εσθιω μαθητησ φαρισαιοσ,0.2353,0.1204
Mark,Mark 6:17,209,Luke,Luke 3:19,151,13,11,0.0427,0.0952,0.0952,0.0,0.0,0.0915,0,0.0,0,,2,αδελφου ηρωδησ,main_text,0.25,0.1053,0.0,4,0.4,2,ηρωδιασ γυνη,4,αδελφοσ γυνη ηρωδησ ηρωδιασ,0.2353,0.1926
