rank_in_chain	mark_ref	matt_ref	score	op_index	op	mark_segment	matt_segment
12	Mark 1:18	Matt 4:20	0.699202	1	replace	και ευθυσ	οι δε ευθεωσ
12	Mark 1:18	Matt 4:20	0.699202	2	equal	αφεντεσ τα δικτυα ηκολουθησαν αυτω	αφεντεσ τα δικτυα ηκολουθησαν αυτω
13	Mark 1:19	Matt 4:21	0.657096	1	equal	και προβασ	και προβασ
13	Mark 1:19	Matt 4:21	0.657096	2	replace	ολιγον	εκειθεν
13	Mark 1:19	Matt 4:21	0.657096	3	equal	ειδεν	ειδεν
13	Mark 1:19	Matt 4:21	0.657096	4	insert		αλλουσ δυο αδελφουσ
13	Mark 1:19	Matt 4:21	0.657096	5	equal	ιακωβον τον του ζεβεδαιου και ιωαννην τον αδελφον αυτου	ιακωβον τον του ζεβεδαιου και ιωαννην τον αδελφον αυτου
13	Mark 1:19	Matt 4:21	0.657096	6	delete	και αυτουσ	
13	Mark 1:19	Matt 4:21	0.657096	7	equal	εν τω πλοιω	εν τω πλοιω
13	Mark 1:19	Matt 4:21	0.657096	8	insert		μετα ζεβεδαιου του πατροσ αυτων
13	Mark 1:19	Matt 4:21	0.657096	9	equal	καταρτιζοντασ τα δικτυα	καταρτιζοντασ τα δικτυα
13	Mark 1:19	Matt 4:21	0.657096	10	insert		αυτων και εκαλεσεν αυτουσ
14	Mark 1:20	Matt 4:22	0.387805	1	insert		οι δε ευθεωσ αφεντεσ το πλοιον
14	Mark 1:20	Matt 4:22	0.387805	2	equal	και	και
14	Mark 1:20	Matt 4:22	0.387805	3	delete	ευθυσ εκαλεσεν αυτουσ και αφεντεσ	
14	Mark 1:20	Matt 4:22	0.387805	4	equal	τον πατερα αυτων	τον πατερα αυτων
14	Mark 1:20	Matt 4:22	0.387805	5	replace	ζεβεδαιον εν τω πλοιω μετα των μισθωτων απηλθον οπισω αυτου	ηκολουθησαν αυτω
15	Mark 1:22	Matt 7:29	0.708926	1	delete	και εξεπλησσοντο επι τη διδαχη αυτου	
15	Mark 1:22	Matt 7:29	0.708926	2	equal	ην γαρ διδασκων αυτουσ ωσ εξουσιαν εχων και ουχ ωσ οι γραμματεισ	ην γαρ διδασκων αυτουσ ωσ εξουσιαν εχων και ουχ ωσ οι γραμματεισ
15	Mark 1:22	Matt 7:29	0.708926	3	insert		αυτων
16	Mark 1:40	Matt 8:2	0.511022	1	equal	και	και
16	Mark 1:40	Matt 8:2	0.511022	2	replace	ερχεται προσ αυτον	ιδου
16	Mark 1:40	Matt 8:2	0.511022	3	equal	λεπροσ	λεπροσ
16	Mark 1:40	Matt 8:2	0.511022	4	replace	παρακαλων αυτον και γονυπετων	προσελθων προσεκυνει αυτω
16	Mark 1:40	Matt 8:2	0.511022	5	equal	λεγων	λεγων
16	Mark 1:40	Matt 8:2	0.511022	6	replace	αυτω οτι	κυριε
16	Mark 1:40	Matt 8:2	0.511022	7	equal	εαν θελησ δυνασαι με καθαρισαι	εαν θελησ δυνασαι με καθαρισαι
17	Mark 1:41	Matt 8:3	0.540494	1	equal	και	και
17	Mark 1:41	Matt 8:3	0.540494	2	delete	οργισθεισ	
17	Mark 1:41	Matt 8:3	0.540494	3	equal	εκτεινασ την χειρα	εκτεινασ την χειρα
17	Mark 1:41	Matt 8:3	0.540494	4	insert		ηψατο
17	Mark 1:41	Matt 8:3	0.540494	5	equal	αυτου	αυτου
17	Mark 1:41	Matt 8:3	0.540494	6	replace	ηψατο και λεγει αυτω	λεγων
17	Mark 1:41	Matt 8:3	0.540494	7	equal	θελω καθαρισθητι	θελω καθαρισθητι
17	Mark 1:41	Matt 8:3	0.540494	8	insert		και ευθεωσ εκαθαρισθη αυτου η λεπρα
18	Mark 1:44	Matt 8:4	0.589437	1	equal	και λεγει αυτω	και λεγει αυτω
18	Mark 1:44	Matt 8:4	0.589437	2	insert		ο ιησουσ
18	Mark 1:44	Matt 8:4	0.589437	3	equal	ορα μηδενι	ορα μηδενι
18	Mark 1:44	Matt 8:4	0.589437	4	delete	μηδεν	
18	Mark 1:44	Matt 8:4	0.589437	5	equal	ειπησ αλλα υπαγε σεαυτον δειξον τω ιερει και	ειπησ αλλα υπαγε σεαυτον δειξον τω ιερει και
18	Mark 1:44	Matt 8:4	0.589437	6	replace	προσενεγκε περι του καθαρισμου σου α	προσενεγκον το δωρον ο
18	Mark 1:44	Matt 8:4	0.589437	7	equal	προσεταξεν μωυσησ εισ μαρτυριον αυτοισ	προσεταξεν μωυσησ εισ μαρτυριον αυτοισ
19	Mark 2:5	Matt 9:2	0.580136	1	insert		και ιδου προσεφερον αυτω παραλυτικον επι κλινησ βεβλημενον
19	Mark 2:5	Matt 9:2	0.580136	2	equal	και ιδων ο ιησουσ την πιστιν αυτων	και ιδων ο ιησουσ την πιστιν αυτων
19	Mark 2:5	Matt 9:2	0.580136	3	replace	λεγει	ειπεν
19	Mark 2:5	Matt 9:2	0.580136	4	equal	τω παραλυτικω	τω παραλυτικω
19	Mark 2:5	Matt 9:2	0.580136	5	insert		θαρσει
19	Mark 2:5	Matt 9:2	0.580136	6	equal	τεκνον αφιενται σου αι αμαρτιαι	τεκνον αφιενται σου αι αμαρτιαι
20	Mark 2:6	Matt 9:3	0.3803	1	replace	ησαν δε	και ιδου
20	Mark 2:6	Matt 9:3	0.3803	2	equal	τινεσ των γραμματεων	τινεσ των γραμματεων
20	Mark 2:6	Matt 9:3	0.3803	3	replace	εκει καθημενοι και διαλογιζομενοι	ειπαν
20	Mark 2:6	Matt 9:3	0.3803	4	equal	εν	εν
20	Mark 2:6	Matt 9:3	0.3803	5	replace	ταισ καρδιαισ αυτων	εαυτοισ ουτοσ βλασφημει
21	Mark 2:8	Matt 9:4	0.383315	1	equal	και	και
21	Mark 2:8	Matt 9:4	0.383315	2	replace	ευθυσ επιγνουσ	ειδωσ
21	Mark 2:8	Matt 9:4	0.383315	3	equal	ο ιησουσ	ο ιησουσ
21	Mark 2:8	Matt 9:4	0.383315	4	replace	τω πνευματι αυτου οτι ουτωσ διαλογιζονται εν εαυτοισ λεγει αυτοισ τι ταυτα διαλογιζεσθε	τασ ενθυμησεισ αυτων ειπεν ινατι ενθυμεισθε πονηρα
21	Mark 2:8	Matt 9:4	0.383315	5	equal	εν ταισ καρδιαισ υμων	εν ταισ καρδιαισ υμων
22	Mark 2:9	Matt 9:5	0.71868	1	equal	τι	τι
22	Mark 2:9	Matt 9:5	0.71868	2	insert		γαρ
22	Mark 2:9	Matt 9:5	0.71868	3	equal	εστιν ευκοπωτερον ειπειν	εστιν ευκοπωτερον ειπειν
22	Mark 2:9	Matt 9:5	0.71868	4	delete	τω παραλυτικω	
22	Mark 2:9	Matt 9:5	0.71868	5	equal	αφιενται σου αι αμαρτιαι η ειπειν εγειρε και	αφιενται σου αι αμαρτιαι η ειπειν εγειρε και
22	Mark 2:9	Matt 9:5	0.71868	6	delete	αρον τον κραβαττον σου και	
22	Mark 2:9	Matt 9:5	0.71868	7	equal	περιπατει	περιπατει
23	Mark 2:10	Matt 9:6	0.736654	1	equal	ινα δε ειδητε οτι εξουσιαν εχει ο υιοσ του ανθρωπου επι τησ γησ αφιεναι αμαρτιασ	ινα δε ειδητε οτι εξουσιαν εχει ο υιοσ του ανθρωπου επι τησ γησ αφιεναι αμαρτιασ
23	Mark 2:10	Matt 9:6	0.736654	2	insert		τοτε
23	Mark 2:10	Matt 9:6	0.736654	3	equal	λεγει τω παραλυτικω	λεγει τω παραλυτικω
23	Mark 2:10	Matt 9:6	0.736654	4	insert		εγερθεισ αρον σου την κλινην και υπαγε εισ τον οικον σου
24	Mark 2:11	Matt 9:7	0.467472	1	delete	σοι λεγω εγειρε αρον τον κραβαττον σου	
24	Mark 2:11	Matt 9:7	0.467472	2	equal	και	και
24	Mark 2:11	Matt 9:7	0.467472	3	replace	υπαγε	εγερθεισ απηλθεν
24	Mark 2:11	Matt 9:7	0.467472	4	equal	εισ τον οικον	εισ τον οικον
24	Mark 2:11	Matt 9:7	0.467472	5	replace	σου	αυτου
25	Mark 2:14	Matt 9:9	0.668879	1	equal	και παραγων	και παραγων
25	Mark 2:14	Matt 9:9	0.668879	2	insert		ο ιησουσ εκειθεν
25	Mark 2:14	Matt 9:9	0.668879	3	equal	ειδεν	ειδεν
25	Mark 2:14	Matt 9:9	0.668879	4	replace	λευιν τον του αλφαιου	ανθρωπον
25	Mark 2:14	Matt 9:9	0.668879	5	equal	καθημενον επι το τελωνιον	καθημενον επι το τελωνιον
25	Mark 2:14	Matt 9:9	0.668879	6	insert		μαθθαιον λεγομενον
25	Mark 2:14	Matt 9:9	0.668879	7	equal	και λεγει αυτω ακολουθει μοι και αναστασ ηκολουθησεν αυτω	και λεγει αυτω ακολουθει μοι και αναστασ ηκολουθησεν αυτω
26	Mark 2:15	Matt 9:10	0.640404	1	equal	και	και
26	Mark 2:15	Matt 9:10	0.640404	2	replace	γινεται κατακεισθαι αυτον	εγενετο αυτου ανακειμενου
26	Mark 2:15	Matt 9:10	0.640404	3	equal	εν τη οικια	εν τη οικια
26	Mark 2:15	Matt 9:10	0.640404	4	delete	αυτου	
26	Mark 2:15	Matt 9:10	0.640404	5	equal	και	και
26	Mark 2:15	Matt 9:10	0.640404	6	insert		ιδου
26	Mark 2:15	Matt 9:10	0.640404	7	equal	πολλοι τελωναι και αμαρτωλοι	πολλοι τελωναι και αμαρτωλοι
26	Mark 2:15	Matt 9:10	0.640404	8	insert		ελθοντεσ
26	Mark 2:15	Matt 9:10	0.640404	9	equal	συνανεκειντο τω ιησου και τοισ μαθηταισ αυτου	συνανεκειντο τω ιησου και τοισ μαθηταισ αυτου
26	Mark 2:15	Matt 9:10	0.640404	10	delete	ησαν γαρ πολλοι και ηκολουθουν αυτω	
27	Mark 2:16	Matt 9:11	0.563532	1	equal	και	και
27	Mark 2:16	Matt 9:11	0.563532	2	insert		ιδοντεσ
27	Mark 2:16	Matt 9:11	0.563532	3	equal	οι	οι
27	Mark 2:16	Matt 9:11	0.563532	4	replace	γραμματεισ των φαρισαιων ιδοντεσ οτι εσθιει μετα των αμαρτωλων και τελωνων	φαρισαιοι
27	Mark 2:16	Matt 9:11	0.563532	5	equal	ελεγον τοισ μαθηταισ αυτου	ελεγον τοισ μαθηταισ αυτου
27	Mark 2:16	Matt 9:11	0.563532	6	replace	οτι	δια τι
27	Mark 2:16	Matt 9:11	0.563532	7	equal	μετα των τελωνων και αμαρτωλων εσθιει	μετα των τελωνων και αμαρτωλων εσθιει
27	Mark 2:16	Matt 9:11	0.563532	8	insert		ο διδασκαλοσ υμων
28	Mark 2:17	Matt 9:12	0.594693	1	replace	και	ο δε
28	Mark 2:17	Matt 9:12	0.594693	2	equal	ακουσασ	ακουσασ
28	Mark 2:17	Matt 9:12	0.594693	3	replace	ο ιησουσ λεγει αυτοισ οτι	ειπεν
28	Mark 2:17	Matt 9:12	0.594693	4	equal	ου χρειαν εχουσιν οι ισχυοντεσ ιατρου	ου χρειαν εχουσιν οι ισχυοντεσ ιατρου
28	Mark 2:17	Matt 9:12	0.594693	5	replace	αλλ	αλλα
28	Mark 2:17	Matt 9:12	0.594693	6	equal	οι κακωσ εχοντεσ	οι κακωσ εχοντεσ
28	Mark 2:17	Matt 9:12	0.594693	7	delete	ουκ ηλθον καλεσαι δικαιουσ αλλα αμαρτωλουσ	
29	Mark 2:18	Matt 9:14	0.489204	1	replace	και ησαν	τοτε προσερχονται αυτω
29	Mark 2:18	Matt 9:14	0.489204	2	equal	οι μαθηται ιωαννου	οι μαθηται ιωαννου
