rank_in_chain	mark_ref	matt_ref	score	op_index	op	mark_segment	matt_segment
181	Mark 10:19	Matt 19:19	0.308708	3	delete	σου	
181	Mark 10:19	Matt 19:19	0.308708	4	equal	και την μητερα	και την μητερα
181	Mark 10:19	Matt 19:19	0.308708	5	insert		και αγαπησεισ τον πλησιον σου ωσ σεαυτον
182	Mark 10:20	Matt 19:20	0.321247	1	insert		λεγει αυτω
182	Mark 10:20	Matt 19:20	0.321247	2	equal	ο	ο
182	Mark 10:20	Matt 19:20	0.321247	3	replace	δε εφη αυτω διδασκαλε	νεανισκοσ παντα
182	Mark 10:20	Matt 19:20	0.321247	4	equal	ταυτα	ταυτα
182	Mark 10:20	Matt 19:20	0.321247	5	replace	παντα εφυλαξαμην εκ νεοτητοσ μου	εφυλαξα τι ετι υστερω
183	Mark 10:21	Matt 19:21	0.543312	1	insert		εφη αυτω
183	Mark 10:21	Matt 19:21	0.543312	2	equal	ο	ο
183	Mark 10:21	Matt 19:21	0.543312	3	delete	δε	
183	Mark 10:21	Matt 19:21	0.543312	4	equal	ιησουσ	ιησουσ
183	Mark 10:21	Matt 19:21	0.543312	5	replace	εμβλεψασ αυτω ηγαπησεν αυτον και ειπεν αυτω εν σε υστερει	ει θελεισ τελειοσ ειναι
183	Mark 10:21	Matt 19:21	0.543312	6	equal	υπαγε	υπαγε
183	Mark 10:21	Matt 19:21	0.543312	7	delete	οσα εχεισ	
183	Mark 10:21	Matt 19:21	0.543312	8	equal	πωλησον	πωλησον
183	Mark 10:21	Matt 19:21	0.543312	9	insert		σου τα υπαρχοντα
183	Mark 10:21	Matt 19:21	0.543312	10	equal	και δοσ	και δοσ
183	Mark 10:21	Matt 19:21	0.543312	11	delete	τοισ	
183	Mark 10:21	Matt 19:21	0.543312	12	equal	πτωχοισ και εξεισ θησαυρον εν	πτωχοισ και εξεισ θησαυρον εν
183	Mark 10:21	Matt 19:21	0.543312	13	replace	ουρανω	ουρανοισ
183	Mark 10:21	Matt 19:21	0.543312	14	equal	και δευρο ακολουθει μοι	και δευρο ακολουθει μοι
184	Mark 10:22	Matt 19:22	0.642276	1	insert		ακουσασ δε
184	Mark 10:22	Matt 19:22	0.642276	2	equal	ο	ο
184	Mark 10:22	Matt 19:22	0.642276	3	replace	δε στυγνασασ επι τω λογω	νεανισκοσ τον λογον
184	Mark 10:22	Matt 19:22	0.642276	4	equal	απηλθεν λυπουμενοσ ην γαρ εχων κτηματα πολλα	απηλθεν λυπουμενοσ ην γαρ εχων κτηματα πολλα
185	Mark 10:23	Matt 19:23	0.467163	1	delete	και περιβλεψαμενοσ	
185	Mark 10:23	Matt 19:23	0.467163	2	equal	ο	ο
185	Mark 10:23	Matt 19:23	0.467163	3	insert		δε
185	Mark 10:23	Matt 19:23	0.467163	4	equal	ιησουσ	ιησουσ
185	Mark 10:23	Matt 19:23	0.467163	5	replace	λεγει	ειπεν
185	Mark 10:23	Matt 19:23	0.467163	6	equal	τοισ μαθηταισ αυτου	τοισ μαθηταισ αυτου
185	Mark 10:23	Matt 19:23	0.467163	7	replace	πωσ	αμην λεγω υμιν οτι πλουσιοσ
185	Mark 10:23	Matt 19:23	0.467163	8	equal	δυσκολωσ	δυσκολωσ
185	Mark 10:23	Matt 19:23	0.467163	9	replace	οι τα χρηματα εχοντεσ	εισελευσεται
185	Mark 10:23	Matt 19:23	0.467163	10	equal	εισ την βασιλειαν	εισ την βασιλειαν
185	Mark 10:23	Matt 19:23	0.467163	11	replace	του θεου εισελευσονται	των ουρανων
186	Mark 10:25	Matt 19:24	0.619198	1	insert		παλιν δε λεγω υμιν
186	Mark 10:25	Matt 19:24	0.619198	2	equal	ευκοπωτερον εστιν καμηλον δια	ευκοπωτερον εστιν καμηλον δια
186	Mark 10:25	Matt 19:24	0.619198	3	replace	τησ τρυμαλιασ τησ	τρυπηματοσ
186	Mark 10:25	Matt 19:24	0.619198	4	equal	ραφιδοσ	ραφιδοσ
186	Mark 10:25	Matt 19:24	0.619198	5	replace	διελθειν	εισελθειν
186	Mark 10:25	Matt 19:24	0.619198	6	equal	η πλουσιον εισ την βασιλειαν του θεου	η πλουσιον εισ την βασιλειαν του θεου
186	Mark 10:25	Matt 19:24	0.619198	7	delete	εισελθειν	
187	Mark 10:26	Matt 19:25	0.477983	1	insert		ακουσαντεσ δε
187	Mark 10:26	Matt 19:25	0.477983	2	equal	οι	οι
187	Mark 10:26	Matt 19:25	0.477983	3	replace	δε περισσωσ	μαθηται
187	Mark 10:26	Matt 19:25	0.477983	4	equal	εξεπλησσοντο	εξεπλησσοντο
187	Mark 10:26	Matt 19:25	0.477983	5	insert		σφοδρα
187	Mark 10:26	Matt 19:25	0.477983	6	equal	λεγοντεσ	λεγοντεσ
187	Mark 10:26	Matt 19:25	0.477983	7	delete	προσ εαυτουσ και	
187	Mark 10:26	Matt 19:25	0.477983	8	equal	τισ	τισ
187	Mark 10:26	Matt 19:25	0.477983	9	insert		αρα
187	Mark 10:26	Matt 19:25	0.477983	10	equal	δυναται σωθηναι	δυναται σωθηναι
188	Mark 10:27	Matt 19:26	0.565865	1	equal	εμβλεψασ	εμβλεψασ
188	Mark 10:27	Matt 19:26	0.565865	2	replace	αυτοισ	δε
188	Mark 10:27	Matt 19:26	0.565865	3	equal	ο ιησουσ	ο ιησουσ
188	Mark 10:27	Matt 19:26	0.565865	4	replace	λεγει	ειπεν αυτοισ
188	Mark 10:27	Matt 19:26	0.565865	5	equal	παρα ανθρωποισ	παρα ανθρωποισ
188	Mark 10:27	Matt 19:26	0.565865	6	insert		τουτο
188	Mark 10:27	Matt 19:26	0.565865	7	equal	αδυνατον	αδυνατον
188	Mark 10:27	Matt 19:26	0.565865	8	replace	αλλ ου	εστιν
188	Mark 10:27	Matt 19:26	0.565865	9	equal	παρα	παρα
188	Mark 10:27	Matt 19:26	0.565865	10	insert		δε
188	Mark 10:27	Matt 19:26	0.565865	11	equal	θεω παντα	θεω παντα
188	Mark 10:27	Matt 19:26	0.565865	12	delete	γαρ	
188	Mark 10:27	Matt 19:26	0.565865	13	equal	δυνατα	δυνατα
188	Mark 10:27	Matt 19:26	0.565865	14	delete	παρα τω θεω	
189	Mark 10:28	Matt 19:27	0.591056	1	replace	ηρξατο λεγειν	τοτε αποκριθεισ
189	Mark 10:28	Matt 19:27	0.591056	2	equal	ο πετροσ	ο πετροσ
189	Mark 10:28	Matt 19:27	0.591056	3	insert		ειπεν
189	Mark 10:28	Matt 19:27	0.591056	4	equal	αυτω ιδου ημεισ αφηκαμεν παντα και	αυτω ιδου ημεισ αφηκαμεν παντα και
189	Mark 10:28	Matt 19:27	0.591056	5	replace	ηκολουθηκαμεν	ηκολουθησαμεν
189	Mark 10:28	Matt 19:27	0.591056	6	equal	σοι	σοι
189	Mark 10:28	Matt 19:27	0.591056	7	insert		τι αρα εσται ημιν
190	Mark 10:29	Matt 19:29	0.472238	1	replace	εφη ο ιησουσ αμην λεγω υμιν ουδεισ εστιν οσ	και πασ οστισ
190	Mark 10:29	Matt 19:29	0.472238	2	equal	αφηκεν	αφηκεν
190	Mark 10:29	Matt 19:29	0.472238	3	replace	οικιαν	οικιασ
190	Mark 10:29	Matt 19:29	0.472238	4	equal	η αδελφουσ η αδελφασ η	η αδελφουσ η αδελφασ η
190	Mark 10:29	Matt 19:29	0.472238	5	insert		πατερα η
190	Mark 10:29	Matt 19:29	0.472238	6	equal	μητερα η	μητερα η
190	Mark 10:29	Matt 19:29	0.472238	7	replace	πατερα	γυναικα
190	Mark 10:29	Matt 19:29	0.472238	8	equal	η τεκνα η αγρουσ ενεκεν	η τεκνα η αγρουσ ενεκεν
190	Mark 10:29	Matt 19:29	0.472238	9	replace	εμου	του ονοματοσ μου εκατονταπλασιονα λημψεται
190	Mark 10:29	Matt 19:29	0.472238	10	equal	και	και
190	Mark 10:29	Matt 19:29	0.472238	11	replace	ενεκεν του ευαγγελιου	ζωην αιωνιον κληρονομησει
191	Mark 10:31	Matt 19:30	0.78855	1	equal	πολλοι δε εσονται πρωτοι εσχατοι και	πολλοι δε εσονται πρωτοι εσχατοι και
191	Mark 10:31	Matt 19:30	0.78855	2	delete	οι	
191	Mark 10:31	Matt 19:30	0.78855	3	equal	εσχατοι πρωτοι	εσχατοι πρωτοι
192	Mark 10:32	Matt 20:17	0.493775	1	replace	ησαν δε	και αναβαινων ο ιησουσ εισ ιεροσολυμα παρελαβεν τουσ δωδεκα μαθητασ κατ ιδιαν και
192	Mark 10:32	Matt 20:17	0.493775	2	equal	εν τη οδω	εν τη οδω
192	Mark 10:32	Matt 20:17	0.493775	3	replace	αναβαινοντεσ εισ ιεροσολυμα και ην προαγων αυτουσ ο ιησουσ και εθαμβουντο οι δε ακολουθουντεσ εφοβουντο και παραλαβων παλιν τουσ δωδεκα ηρξατο	ειπεν
192	Mark 10:32	Matt 20:17	0.493775	4	equal	αυτοισ	αυτοισ
192	Mark 10:32	Matt 20:17	0.493775	5	delete	λεγειν τα μελλοντα αυτω συμβαινειν	
193	Mark 10:33	Matt 20:18	0.744622	1	delete	οτι	
193	Mark 10:33	Matt 20:18	0.744622	2	equal	ιδου αναβαινομεν εισ ιεροσολυμα και ο υιοσ του ανθρωπου παραδοθησεται τοισ αρχιερευσιν και	ιδου αναβαινομεν εισ ιεροσολυμα και ο υιοσ του ανθρωπου παραδοθησεται τοισ αρχιερευσιν και
193	Mark 10:33	Matt 20:18	0.744622	3	delete	τοισ	
193	Mark 10:33	Matt 20:18	0.744622	4	equal	γραμματευσιν και κατακρινουσιν αυτον θανατω	γραμματευσιν και κατακρινουσιν αυτον θανατω
193	Mark 10:33	Matt 20:18	0.744622	5	delete	και παραδωσουσιν αυτον τοισ εθνεσιν	
194	Mark 10:34	Matt 20:19	0.384831	1	equal	και	και
194	Mark 10:34	Matt 20:19	0.384831	2	replace	εμπαιξουσιν αυτω	παραδωσουσιν αυτον τοισ εθνεσιν εισ το εμπαιξαι
194	Mark 10:34	Matt 20:19	0.384831	3	equal	και	και
194	Mark 10:34	Matt 20:19	0.384831	4	replace	εμπτυσουσιν αυτω	μαστιγωσαι
194	Mark 10:34	Matt 20:19	0.384831	5	equal	και	και
194	Mark 10:34	Matt 20:19	0.384831	6	replace	μαστιγωσουσιν αυτον	σταυρωσαι
194	Mark 10:34	Matt 20:19	0.384831	7	equal	και	και
194	Mark 10:34	Matt 20:19	0.384831	8	replace	αποκτενουσιν και μετα τρεισ ημερασ αναστησεται	τη τριτη ημερα εγερθησεται
195	Mark 10:37	Matt 20:21	0.48139	1	insert		ο δε ειπεν αυτη τι θελεισ λεγει αυτω ειπε ινα καθισωσιν ουτοι
195	Mark 10:37	Matt 20:21	0.48139	2	equal	οι	οι
195	Mark 10:37	Matt 20:21	0.48139	3	replace	δε ειπαν αυτω δοσ ημιν ινα	δυο υιοι μου
195	Mark 10:37	Matt 20:21	0.48139	4	equal	εισ	εισ
195	Mark 10:37	Matt 20:21	0.48139	5	delete	σου	
195	Mark 10:37	Matt 20:21	0.48139	6	equal	εκ δεξιων	εκ δεξιων
195	Mark 10:37	Matt 20:21	0.48139	7	insert		σου
195	Mark 10:37	Matt 20:21	0.48139	8	equal	και εισ εξ	και εισ εξ
195	Mark 10:37	Matt 20:21	0.48139	9	replace	αριστερων καθισωμεν	ευωνυμων σου
195	Mark 10:37	Matt 20:21	0.48139	10	equal	εν τη	εν τη
195	Mark 10:37	Matt 20:21	0.48139	11	replace	δοξη	βασιλεια
195	Mark 10:37	Matt 20:21	0.48139	12	equal	σου	σου
196	Mark 10:38	Matt 20:22	0.58755	1	insert		αποκριθεισ δε
196	Mark 10:38	Matt 20:22	0.58755	2	equal	ο	ο
196	Mark 10:38	Matt 20:22	0.58755	3	delete	δε	
196	Mark 10:38	Matt 20:22	0.58755	4	equal	ιησουσ ειπεν	ιησουσ ειπεν
196	Mark 10:38	Matt 20:22	0.58755	5	delete	αυτοισ	
196	Mark 10:38	Matt 20:22	0.58755	6	equal	ουκ οιδατε τι αιτεισθε δυνασθε πιειν το ποτηριον ο εγω	ουκ οιδατε τι αιτεισθε δυνασθε πιειν το ποτηριον ο εγω
196	Mark 10:38	Matt 20:22	0.58755	7	replace	πινω η το βαπτισμα ο εγω βαπτιζομαι βαπτισθηναι	μελλω πινειν λεγουσιν αυτω δυναμεθα
197	Mark 10:40	Matt 20:23	0.658337	1	insert		λεγει αυτοισ το μεν ποτηριον μου πιεσθε
197	Mark 10:40	Matt 20:23	0.658337	2	equal	το δε καθισαι εκ δεξιων μου	το δε καθισαι εκ δεξιων μου
197	Mark 10:40	Matt 20:23	0.658337	3	replace	η	και
197	Mark 10:40	Matt 20:23	0.658337	4	equal	εξ ευωνυμων ουκ εστιν εμον δουναι αλλ οισ ητοιμασται	εξ ευωνυμων ουκ εστιν εμον δουναι αλλ οισ ητοιμασται
197	Mark 10:40	Matt 20:23	0.658337	5	insert		υπο του πατροσ μου
198	Mark 10:41	Matt 20:24	0.567176	1	equal	και ακουσαντεσ οι δεκα	και ακουσαντεσ οι δεκα
198	Mark 10:41	Matt 20:24	0.567176	2	replace	ηρξαντο αγανακτειν	ηγανακτησαν
198	Mark 10:41	Matt 20:24	0.567176	3	equal	περι	περι
198	Mark 10:41	Matt 20:24	0.567176	4	replace	ιακωβου και ιωαννου	των δυο αδελφων
199	Mark 10:42	Matt 20:25	0.716206	1	replace	και	ο δε ιησουσ
199	Mark 10:42	Matt 20:25	0.716206	2	equal	προσκαλεσαμενοσ αυτουσ	προσκαλεσαμενοσ αυτουσ
199	Mark 10:42	Matt 20:25	0.716206	3	replace	ο ιησουσ λεγει αυτοισ	ειπεν
199	Mark 10:42	Matt 20:25	0.716206	4	equal	οιδατε οτι οι	οιδατε οτι οι
199	Mark 10:42	Matt 20:25	0.716206	5	replace	δοκουντεσ αρχειν	αρχοντεσ
199	Mark 10:42	Matt 20:25	0.716206	6	equal	των εθνων κατακυριευουσιν αυτων και οι μεγαλοι	των εθνων κατακυριευουσιν αυτων και οι μεγαλοι
199	Mark 10:42	Matt 20:25	0.716206	7	delete	αυτων	
199	Mark 10:42	Matt 20:25	0.716206	8	equal	κατεξουσιαζουσιν αυτων	κατεξουσιαζουσιν αυτων
200	Mark 10:43	Matt 20:26	0.832524	1	equal	ουχ ουτωσ	ουχ ουτωσ
200	Mark 10:43	Matt 20:26	0.832524	2	replace	δε εστιν	εσται
200	Mark 10:43	Matt 20:26	0.832524	3	equal	εν υμιν αλλ οσ αν θελη	εν υμιν αλλ οσ αν θελη
200	Mark 10:43	Matt 20:26	0.832524	4	insert		εν υμιν
200	Mark 10:43	Matt 20:26	0.832524	5	equal	μεγασ γενεσθαι	μεγασ γενεσθαι
200	Mark 10:43	Matt 20:26	0.832524	6	delete	εν υμιν	
200	Mark 10:43	Matt 20:26	0.832524	7	equal	εσται υμων διακονοσ	εσται υμων διακονοσ
201	Mark 10:44	Matt 20:27	0.888691	1	equal	και οσ αν θελη εν υμιν ειναι πρωτοσ εσται	και οσ αν θελη εν υμιν ειναι πρωτοσ εσται
201	Mark 10:44	Matt 20:27	0.888691	2	replace	παντων	υμων
201	Mark 10:44	Matt 20:27	0.888691	3	equal	δουλοσ	δουλοσ
202	Mark 10:45	Matt 20:28	0.91524	1	replace	και γαρ	ωσπερ
202	Mark 10:45	Matt 20:28	0.91524	2	equal	ο υιοσ του ανθρωπου ουκ ηλθεν διακονηθηναι αλλα διακονησαι και δουναι την ψυχην αυτου λυτρον αντι πολλων	ο υιοσ του ανθρωπου ουκ ηλθεν διακονηθηναι αλλα διακονησαι και δουναι την ψυχην αυτου λυτρον αντι πολλων
203	Mark 10:46	Matt 20:29	0.380189	1	equal	και	και
203	Mark 10:46	Matt 20:29	0.380189	2	replace	ερχονται εισ ιεριχω και εκπορευομενου αυτου	εκπορευομενων αυτων
203	Mark 10:46	Matt 20:29	0.380189	3	equal	απο ιεριχω	απο ιεριχω
203	Mark 10:46	Matt 20:29	0.380189	4	replace	και των μαθητων αυτου και οχλου ικανου ο υιοσ τιμαιου βαρτιμαιοσ τυφλοσ προσαιτησ εκαθητο παρα την οδον	ηκολουθησεν αυτω οχλοσ πολυσ
204	Mark 10:47	Matt 20:30	0.374465	1	equal	και	και
204	Mark 10:47	Matt 20:30	0.374465	2	replace	ακουσασ	ιδου δυο τυφλοι καθημενοι παρα την οδον ακουσαντεσ
204	Mark 10:47	Matt 20:30	0.374465	3	equal	οτι ιησουσ	οτι ιησουσ
204	Mark 10:47	Matt 20:30	0.374465	4	replace	ο ναζαρηνοσ εστιν ηρξατο κραζειν και λεγειν υιε	παραγει εκραξαν λεγοντεσ κυριε ελεησον ημασ υιοσ
204	Mark 10:47	Matt 20:30	0.374465	5	equal	δαυιδ	δαυιδ
204	Mark 10:47	Matt 20:30	0.374465	6	delete	ιησου ελεησον με	
205	Mark 10:48	Matt 20:31	0.437928	1	delete	και επετιμων αυτω πολλοι ινα σιωπηση	
205	Mark 10:48	Matt 20:31	0.437928	2	equal	ο δε	ο δε
205	Mark 10:48	Matt 20:31	0.437928	3	replace	πολλω μαλλον εκραζεν υιε	οχλοσ επετιμησεν αυτοισ ινα σιωπησωσιν οι δε μειζον εκραξαν λεγοντεσ κυριε ελεησον ημασ υιοσ
205	Mark 10:48	Matt 20:31	0.437928	4	equal	δαυιδ	δαυιδ
205	Mark 10:48	Matt 20:31	0.437928	5	delete	ελεησον με	
206	Mark 10:49	Matt 20:32	0.413549	1	equal	και στασ ο ιησουσ	και στασ ο ιησουσ
206	Mark 10:49	Matt 20:32	0.413549	2	insert		εφωνησεν αυτουσ και
206	Mark 10:49	Matt 20:32	0.413549	3	equal	ειπεν	ειπεν
206	Mark 10:49	Matt 20:32	0.413549	4	replace	φωνησατε αυτον και φωνουσι τον τυφλον λεγοντεσ αυτω θαρσει εγειρε φωνει σε	τι θελετε ποιησω υμιν
207	Mark 10:52	Matt 20:34	0.344372	1	replace	και	σπλαγχνισθεισ δε
207	Mark 10:52	Matt 20:34	0.344372	2	equal	ο ιησουσ	ο ιησουσ
207	Mark 10:52	Matt 20:34	0.344372	3	replace	ειπεν	ηψατο των ομματων αυτων και ευθεωσ ανεβλεψαν και ηκολουθησαν
207	Mark 10:52	Matt 20:34	0.344372	4	equal	αυτω	αυτω
207	Mark 10:52	Matt 20:34	0.344372	5	delete	υπαγε η πιστισ σου σεσωκεν σε και ευθυσ ανεβλεψεν και ηκολουθει αυτω εν τη οδω	
208	Mark 11:1	Matt 21:1	0.573209	1	equal	και οτε	και οτε
208	Mark 11:1	Matt 21:1	0.573209	2	replace	εγγιζουσιν	ηγγισαν
208	Mark 11:1	Matt 21:1	0.573209	3	equal	εισ ιεροσολυμα	εισ ιεροσολυμα
208	Mark 11:1	Matt 21:1	0.573209	4	insert		και ηλθον
208	Mark 11:1	Matt 21:1	0.573209	5	equal	εισ βηθφαγη	εισ βηθφαγη
208	Mark 11:1	Matt 21:1	0.573209	6	replace	και βηθανιαν προσ	εισ
208	Mark 11:1	Matt 21:1	0.573209	7	equal	το οροσ των ελαιων	το οροσ των ελαιων
208	Mark 11:1	Matt 21:1	0.573209	8	replace	αποστελλει	τοτε ιησουσ απεστειλεν
208	Mark 11:1	Matt 21:1	0.573209	9	equal	δυο	δυο
208	Mark 11:1	Matt 21:1	0.573209	10	replace	των μαθητων αυτου	μαθητασ
209	Mark 11:2	Matt 21:2	0.480491	1	replace	και λεγει	λεγων
209	Mark 11:2	Matt 21:2	0.480491	2	equal	αυτοισ	αυτοισ
209	Mark 11:2	Matt 21:2	0.480491	3	replace	υπαγετε	πορευεσθε
209	Mark 11:2	Matt 21:2	0.480491	4	equal	εισ την κωμην την κατεναντι υμων και	εισ την κωμην την κατεναντι υμων και
209	Mark 11:2	Matt 21:2	0.480491	5	replace	ευθυσ εισπορευομενοι εισ αυτην	ευθεωσ
209	Mark 11:2	Matt 21:2	0.480491	6	equal	ευρησετε	ευρησετε
209	Mark 11:2	Matt 21:2	0.480491	7	insert		ονον δεδεμενην και
209	Mark 11:2	Matt 21:2	0.480491	8	equal	πωλον	πωλον
209	Mark 11:2	Matt 21:2	0.480491	9	replace	δεδεμενον εφ ον ουδεισ ουπω ανθρωπων εκαθισεν λυσατε αυτον και φερετε	μετ αυτησ λυσαντεσ αγαγετε μοι
210	Mark 11:3	Matt 21:3	0.608505	1	equal	και εαν τισ υμιν ειπη τι	και εαν τισ υμιν ειπη τι
210	Mark 11:3	Matt 21:3	0.608505	2	replace	ποιειτε τουτο ειπατε	ερειτε
210	Mark 11:3	Matt 21:3	0.608505	3	equal	οτι ο κυριοσ	οτι ο κυριοσ
210	Mark 11:3	Matt 21:3	0.608505	4	replace	αυτου	αυτων
210	Mark 11:3	Matt 21:3	0.608505	5	equal	χρειαν εχει	χρειαν εχει
210	Mark 11:3	Matt 21:3	0.608505	6	delete	και	
210	Mark 11:3	Matt 21:3	0.608505	7	equal	ευθυσ	ευθυσ
210	Mark 11:3	Matt 21:3	0.608505	8	replace	αυτον αποστελλει παλιν ωδε	δε αποστελει αυτουσ
211	Mark 11:6	Matt 21:6	0.392439	1	insert		πορευθεντεσ δε
211	Mark 11:6	Matt 21:6	0.392439	2	equal	οι	οι
211	Mark 11:6	Matt 21:6	0.392439	3	replace	δε ειπαν	μαθηται και ποιησαντεσ καθωσ συνεταξεν
211	Mark 11:6	Matt 21:6	0.392439	4	equal	αυτοισ	αυτοισ
211	Mark 11:6	Matt 21:6	0.392439	5	delete	καθωσ ειπεν	
211	Mark 11:6	Matt 21:6	0.392439	6	equal	ο ιησουσ	ο ιησουσ
211	Mark 11:6	Matt 21:6	0.392439	7	delete	και αφηκαν αυτουσ	
212	Mark 11:7	Matt 21:7	0.363909	1	insert		ηγαγον την ονον
212	Mark 11:7	Matt 21:7	0.363909	2	equal	και	και
212	Mark 11:7	Matt 21:7	0.363909	3	delete	φερουσιν	
212	Mark 11:7	Matt 21:7	0.363909	4	equal	τον πωλον	τον πωλον
212	Mark 11:7	Matt 21:7	0.363909	5	delete	προσ τον ιησουν	
212	Mark 11:7	Matt 21:7	0.363909	6	equal	και	και
212	Mark 11:7	Matt 21:7	0.363909	7	replace	επιβαλλουσιν αυτω	επεθηκαν επ αυτων
212	Mark 11:7	Matt 21:7	0.363909	8	equal	τα ιματια	τα ιματια
212	Mark 11:7	Matt 21:7	0.363909	9	insert		και επεκαθισεν επανω
212	Mark 11:7	Matt 21:7	0.363909	10	equal	αυτων	αυτων
212	Mark 11:7	Matt 21:7	0.363909	11	delete	και εκαθισεν επ αυτον	
213	Mark 11:8	Matt 21:8	0.417733	1	replace	και πολλοι	ο δε πλειστοσ οχλοσ εστρωσαν εαυτων
213	Mark 11:8	Matt 21:8	0.417733	2	equal	τα ιματια	τα ιματια
213	Mark 11:8	Matt 21:8	0.417733	3	replace	αυτων εστρωσαν εισ την οδον	εν τη οδω
213	Mark 11:8	Matt 21:8	0.417733	4	equal	αλλοι δε	αλλοι δε
213	Mark 11:8	Matt 21:8	0.417733	5	replace	στιβαδασ κοψαντεσ εκ	εκοπτον κλαδουσ απο
213	Mark 11:8	Matt 21:8	0.417733	6	equal	των	των
213	Mark 11:8	Matt 21:8	0.417733	7	replace	αγρων	δενδρων και εστρωννυον εν τη οδω
214	Mark 11:9	Matt 21:9	0.570771	1	replace	και	οι δε οχλοι
214	Mark 11:9	Matt 21:9	0.570771	2	equal	οι προαγοντεσ	οι προαγοντεσ
214	Mark 11:9	Matt 21:9	0.570771	3	insert		αυτον
214	Mark 11:9	Matt 21:9	0.570771	4	equal	και οι ακολουθουντεσ εκραζον	και οι ακολουθουντεσ εκραζον
214	Mark 11:9	Matt 21:9	0.570771	5	insert		λεγοντεσ
214	Mark 11:9	Matt 21:9	0.570771	6	equal	ωσαννα	ωσαννα
214	Mark 11:9	Matt 21:9	0.570771	7	insert		τω υιω δαυιδ
214	Mark 11:9	Matt 21:9	0.570771	8	equal	ευλογημενοσ ο ερχομενοσ εν ονοματι κυριου	ευλογημενοσ ο ερχομενοσ εν ονοματι κυριου
214	Mark 11:9	Matt 21:9	0.570771	9	insert		ωσαννα εν τοισ υψιστοισ
215	Mark 11:11	Matt 21:10	0.253066	1	equal	και	και
215	Mark 11:11	Matt 21:10	0.253066	2	replace	εισηλθεν	εισελθοντοσ αυτου
215	Mark 11:11	Matt 21:10	0.253066	3	equal	εισ ιεροσολυμα	εισ ιεροσολυμα
215	Mark 11:11	Matt 21:10	0.253066	4	replace	εισ το ιερον και περιβλεψαμενοσ παντα οψε ηδη ουσησ τησ ωρασ εξηλθεν εισ βηθανιαν μετα των δωδεκα	εσεισθη πασα η πολισ λεγουσα τισ εστιν ουτοσ
216	Mark 11:15	Matt 21:12	0.615365	1	equal	και	και
216	Mark 11:15	Matt 21:12	0.615365	2	replace	ερχονται εισ ιεροσολυμα και εισελθων	εισηλθεν ιησουσ
216	Mark 11:15	Matt 21:12	0.615365	3	equal	εισ το ιερον	εισ το ιερον
216	Mark 11:15	Matt 21:12	0.615365	4	replace	ηρξατο εκβαλλειν	και εξεβαλεν παντασ
216	Mark 11:15	Matt 21:12	0.615365	5	equal	τουσ πωλουντασ και	τουσ πωλουντασ και
216	Mark 11:15	Matt 21:12	0.615365	6	delete	τουσ	
216	Mark 11:15	Matt 21:12	0.615365	7	equal	αγοραζοντασ εν τω ιερω και τασ τραπεζασ των κολλυβιστων	αγοραζοντασ εν τω ιερω και τασ τραπεζασ των κολλυβιστων
216	Mark 11:15	Matt 21:12	0.615365	8	insert		κατεστρεψεν
216	Mark 11:15	Matt 21:12	0.615365	9	equal	και τασ καθεδρασ των πωλουντων τασ περιστερασ	και τασ καθεδρασ των πωλουντων τασ περιστερασ
216	Mark 11:15	Matt 21:12	0.615365	10	delete	κατεστρεψεν	
217	Mark 11:17	Matt 21:13	0.47503	1	equal	και	και
217	Mark 11:17	Matt 21:13	0.47503	2	replace	εδιδασκεν και ελεγεν	λεγει
217	Mark 11:17	Matt 21:13	0.47503	3	equal	αυτοισ	αυτοισ
217	Mark 11:17	Matt 21:13	0.47503	4	delete	ου	
217	Mark 11:17	Matt 21:13	0.47503	5	equal	γεγραπται	γεγραπται
217	Mark 11:17	Matt 21:13	0.47503	6	delete	οτι	
217	Mark 11:17	Matt 21:13	0.47503	7	equal	ο οικοσ μου οικοσ προσευχησ κληθησεται	ο οικοσ μου οικοσ προσευχησ κληθησεται
217	Mark 11:17	Matt 21:13	0.47503	8	delete	πασιν τοισ εθνεσιν	
217	Mark 11:17	Matt 21:13	0.47503	9	equal	υμεισ δε	υμεισ δε
217	Mark 11:17	Matt 21:13	0.47503	10	delete	πεποιηκατε	
217	Mark 11:17	Matt 21:13	0.47503	11	equal	αυτον	αυτον
217	Mark 11:17	Matt 21:13	0.47503	12	insert		ποιειτε
217	Mark 11:17	Matt 21:13	0.47503	13	equal	σπηλαιον ληστων	σπηλαιον ληστων
218	Mark 11:19	Matt 21:17	0.278171	1	equal	και	και
218	Mark 11:19	Matt 21:17	0.278171	2	replace	οταν οψε εγενετο εξεπορευοντο	καταλιπων αυτουσ εξηλθεν
218	Mark 11:19	Matt 21:17	0.278171	3	equal	εξω τησ πολεωσ	εξω τησ πολεωσ
218	Mark 11:19	Matt 21:17	0.278171	4	insert		εισ βηθανιαν και ηυλισθη εκει
219	Mark 11:21	Matt 21:20	0.254237	1	equal	και	και
219	Mark 11:21	Matt 21:20	0.254237	2	replace	αναμνησθεισ ο πετροσ λεγει αυτω ραββι ιδε	ιδοντεσ οι μαθηται εθαυμασαν λεγοντεσ πωσ παραχρημα εξηρανθη
219	Mark 11:21	Matt 21:20	0.254237	3	equal	η συκη	η συκη
219	Mark 11:21	Matt 21:20	0.254237	4	delete	ην κατηρασω εξηρανται	
