source_ref,target_ref,rank,score
Matt 1:17,Mark 12:26,18,0.08205810934305191
Matt 1:17,Mark 10:47,19,0.0804637148976326
Matt 1:17,Mark 15:40,20,0.07993669807910919
Matt 1:18,Mark 13:17,1,0.15435059368610382
Matt 1:18,Mark 1:1,2,0.1451064795255661
Matt 1:18,Mark 15:40,3,0.13642649352550507
Matt 1:18,Mark 2:8,4,0.1348421424627304
Matt 1:18,Mark 12:36,5,0.1268082857131958
Matt 1:18,Mark 15:39,6,0.12599590420722961
Matt 1:18,Mark 1:8,7,0.1239834800362587
Matt 1:18,Mark 7:26,8,0.12265056371688843
Matt 1:18,Mark 12:35,9,0.12137579917907715
Matt 1:18,Mark 7:11,10,0.1206277459859848
Matt 1:18,Mark 5:2,11,0.11919527500867844
Matt 1:18,Mark 15:45,12,0.11865337938070297
Matt 1:18,Mark 8:29,13,0.11597099155187607
Matt 1:18,Mark 14:30,14,0.11441762745380402
Matt 1:18,Mark 7:12,15,0.11423094570636749
Matt 1:18,Mark 14:55,16,0.11347664147615433
Matt 1:18,Mark 3:33,17,0.1131519302725792
Matt 1:18,Mark 5:40,18,0.11273868381977081
Matt 1:18,Mark 6:3,19,0.11177317053079605
Matt 1:18,Mark 9:27,20,0.11116331815719604
Matt 1:19,Mark 10:12,1,0.18669117987155914
Matt 1:19,Mark 10:2,2,0.16586028039455414
Matt 1:19,Mark 8:9,3,0.156895250082016
Matt 1:19,Mark 15:15,4,0.15134349465370178
Matt 1:19,Mark 10:11,5,0.14829452335834503
Matt 1:19,Mark 6:50,6,0.1477772742509842
Matt 1:19,Mark 15:9,7,0.1476338803768158
Matt 1:19,Mark 6:20,8,0.14624592661857605
Matt 1:19,Mark 6:19,9,0.14299678802490234
Matt 1:19,Mark 10:36,10,0.13937164843082428
Matt 1:19,Mark 10:14,11,0.13260512053966522
Matt 1:19,Mark 10:13,12,0.13175532221794128
Matt 1:19,Mark 6:44,13,0.1270066201686859
Matt 1:19,Mark 10:4,14,0.12682414054870605
Matt 1:19,Mark 8:29,15,0.12580320239067078
Matt 1:19,Mark 14:44,16,0.1252337247133255
Matt 1:19,Mark 10:51,17,0.12283000349998474
Matt 1:19,Mark 11:6,18,0.12004557251930237
Matt 1:19,Mark 13:31,19,0.11831003427505493
Matt 1:19,Mark 9:27,20,0.11779923737049103
Matt 1:20,Mark 12:36,1,0.18112993240356445
Matt 1:20,Mark 12:37,2,0.17339694499969482
Matt 1:20,Mark 12:35,3,0.15189489722251892
Matt 1:20,Mark 6:50,4,0.14666050672531128
Matt 1:20,Mark 5:33,5,0.14572325348854065
Matt 1:20,Mark 5:8,6,0.14254607260227203
Matt 1:20,Mark 6:3,7,0.13416501879692078
Matt 1:20,Mark 1:8,8,0.1339387148618698
Matt 1:20,Mark 8:38,9,0.13331100344657898
Matt 1:20,Mark 9:21,10,0.1330510824918747
Matt 1:20,Mark 6:14,11,0.13223233819007874
Matt 1:20,Mark 6:17,12,0.130970761179924
Matt 1:20,Mark 13:11,13,0.1299845427274704
Matt 1:20,Mark 6:18,14,0.12954001128673553
Matt 1:20,Mark 10:32,15,0.12592662870883942
Matt 1:20,Mark 7:29,16,0.1257525384426117
Matt 1:20,Mark 3:11,17,0.12399634718894958
Matt 1:20,Mark 10:37,18,0.12261559069156647
Matt 1:20,Mark 10:11,19,0.12254251539707184
Matt 1:20,Mark 13:32,20,0.12159880995750427
Matt 1:21,Mark 13:13,1,0.19424369931221008
Matt 1:21,Mark 8:35,2,0.1730552762746811
Matt 1:21,Mark 5:17,3,0.16459544003009796
Matt 1:21,Mark 6:14,4,0.1618497669696808
Matt 1:21,Mark 12:37,5,0.15934064984321594
Matt 1:21,Mark 11:6,6,0.15825733542442322
Matt 1:21,Mark 10:50,7,0.15808726847171783
Matt 1:21,Mark 2:5,8,0.15566971898078918
Matt 1:21,Mark 9:27,9,0.1526021957397461
Matt 1:21,Mark 11:7,10,0.1521887183189392
Matt 1:21,Mark 5:34,11,0.15045875310897827
Matt 1:21,Mark 5:6,12,0.14904625713825226
Matt 1:21,Mark 1:20,13,0.14757992327213287
Matt 1:21,Mark 9:39,14,0.1464085429906845
Matt 1:21,Mark 3:31,15,0.14573116600513458
Matt 1:21,Mark 6:17,16,0.14424680173397064
Matt 1:21,Mark 5:28,17,0.14329928159713745
Matt 1:21,Mark 2:15,18,0.1412293016910553
Matt 1:21,Mark 10:14,19,0.14058412611484528
Matt 1:21,Mark 10:52,20,0.14030759036540985
Matt 1:22,Mark 13:13,1,0.19717387855052948
Matt 1:22,Mark 13:18,2,0.17101728916168213
Matt 1:22,Mark 11:16,3,0.16078916192054749
Matt 1:22,Mark 9:21,4,0.15305206179618835
Matt 1:22,Mark 12:11,5,0.15253926813602448
Matt 1:22,Mark 2:27,6,0.1494549810886383
