mark_start_ref,mark_end_ref,matt_start_ref,matt_end_ref,rank,window_score,mark_refs,matt_refs
Mark 1:16,Mark 1:18,Matt 4:19,Matt 4:21,3,0.242243,Mark 1:16 | Mark 1:17 | Mark 1:18,Matt 4:19 | Matt 4:20 | Matt 4:21
Mark 1:16,Mark 1:18,Matt 4:16,Matt 4:18,4,0.205172,Mark 1:16 | Mark 1:17 | Mark 1:18,Matt 4:16 | Matt 4:17 | Matt 4:18
Mark 1:17,Mark 1:19,Matt 4:19,Matt 4:21,1,0.526355,Mark 1:17 | Mark 1:18 | Mark 1:19,Matt 4:19 | Matt 4:20 | Matt 4:21
Mark 1:17,Mark 1:19,Matt 4:20,Matt 4:22,2,0.380516,Mark 1:17 | Mark 1:18 | Mark 1:19,Matt 4:20 | Matt 4:21 | Matt 4:22
Mark 1:17,Mark 1:19,Matt 4:18,Matt 4:20,3,0.245479,Mark 1:17 | Mark 1:18 | Mark 1:19,Matt 4:18 | Matt 4:19 | Matt 4:20
Mark 1:17,Mark 1:19,Matt 4:21,Matt 4:23,4,0.234448,Mark 1:17 | Mark 1:18 | Mark 1:19,Matt 4:21 | Matt 4:22 | Matt 4:23
Mark 1:18,Mark 1:20,Matt 4:20,Matt 4:22,1,0.471609,Mark 1:18 | Mark 1:19 | Mark 1:20,Matt 4:20 | Matt 4:21 | Matt 4:22
Mark 1:18,Mark 1:20,Matt 4:19,Matt 4:21,2,0.405896,Mark 1:18 | Mark 1:19 | Mark 1:20,Matt 4:19 | Matt 4:20 | Matt 4:21
Mark 1:18,Mark 1:20,Matt 4:21,Matt 4:23,3,0.292183,Mark 1:18 | Mark 1:19 | Mark 1:20,Matt 4:21 | Matt 4:22 | Matt 4:23
Mark 1:19,Mark 1:21,Matt 4:20,Matt 4:22,1,0.347099,Mark 1:19 | Mark 1:20 | Mark 1:21,Matt 4:20 | Matt 4:21 | Matt 4:22
Mark 1:19,Mark 1:21,Matt 4:21,Matt 4:23,2,0.308602,Mark 1:19 | Mark 1:20 | Mark 1:21,Matt 4:21 | Matt 4:22 | Matt 4:23
Mark 1:19,Mark 1:21,Matt 4:19,Matt 4:21,3,0.299531,Mark 1:19 | Mark 1:20 | Mark 1:21,Matt 4:19 | Matt 4:20 | Matt 4:21
Mark 1:20,Mark 1:22,Matt 7:28,Matt 8:1,1,0.273562,Mark 1:20 | Mark 1:21 | Mark 1:22,Matt 7:28 | Matt 7:29 | Matt 8:1
Mark 1:20,Mark 1:22,Matt 7:27,Matt 7:29,2,0.217621,Mark 1:20 | Mark 1:21 | Mark 1:22,Matt 7:27 | Matt 7:28 | Matt 7:29
Mark 1:20,Mark 1:22,Matt 7:29,Matt 8:2,3,0.186375,Mark 1:20 | Mark 1:21 | Mark 1:22,Matt 7:29 | Matt 8:1 | Matt 8:2
Mark 1:21,Mark 1:23,Matt 7:28,Matt 8:1,1,0.293032,Mark 1:21 | Mark 1:22 | Mark 1:23,Matt 7:28 | Matt 7:29 | Matt 8:1
Mark 1:21,Mark 1:23,Matt 7:27,Matt 7:29,2,0.228951,Mark 1:21 | Mark 1:22 | Mark 1:23,Matt 7:27 | Matt 7:28 | Matt 7:29
Mark 1:21,Mark 1:23,Matt 7:29,Matt 8:2,3,0.197443,Mark 1:21 | Mark 1:22 | Mark 1:23,Matt 7:29 | Matt 8:1 | Matt 8:2
