matt_start_ref,matt_end_ref,mark_start_ref,mark_end_ref,rank,window_score,matt_refs,mark_refs
Matt 3:1,Matt 3:3,Mark 1:1,Mark 1:3,1,0.359812,Matt 3:1 | Matt 3:2 | Matt 3:3,Mark 1:1 | Mark 1:2 | Mark 1:3
Matt 4:18,Matt 4:20,Mark 1:17,Mark 1:19,3,0.245479,Matt 4:18 | Matt 4:19 | Matt 4:20,Mark 1:17 | Mark 1:18 | Mark 1:19
Matt 4:18,Matt 4:20,Mark 1:14,Mark 1:16,4,0.226046,Matt 4:18 | Matt 4:19 | Matt 4:20,Mark 1:14 | Mark 1:15 | Mark 1:16
Matt 4:19,Matt 4:21,Mark 1:17,Mark 1:19,1,0.526355,Matt 4:19 | Matt 4:20 | Matt 4:21,Mark 1:17 | Mark 1:18 | Mark 1:19
Matt 4:19,Matt 4:21,Mark 1:18,Mark 1:20,2,0.405896,Matt 4:19 | Matt 4:20 | Matt 4:21,Mark 1:18 | Mark 1:19 | Mark 1:20
Matt 4:19,Matt 4:21,Mark 1:19,Mark 1:21,3,0.299531,Matt 4:19 | Matt 4:20 | Matt 4:21,Mark 1:19 | Mark 1:20 | Mark 1:21
Matt 4:19,Matt 4:21,Mark 1:16,Mark 1:18,4,0.242243,Matt 4:19 | Matt 4:20 | Matt 4:21,Mark 1:16 | Mark 1:17 | Mark 1:18
Matt 4:20,Matt 4:22,Mark 1:18,Mark 1:20,1,0.471609,Matt 4:20 | Matt 4:21 | Matt 4:22,Mark 1:18 | Mark 1:19 | Mark 1:20
Matt 4:20,Matt 4:22,Mark 1:17,Mark 1:19,2,0.380516,Matt 4:20 | Matt 4:21 | Matt 4:22,Mark 1:17 | Mark 1:18 | Mark 1:19
Matt 4:20,Matt 4:22,Mark 1:19,Mark 1:21,3,0.347099,Matt 4:20 | Matt 4:21 | Matt 4:22,Mark 1:19 | Mark 1:20 | Mark 1:21
Matt 4:21,Matt 4:23,Mark 1:19,Mark 1:21,1,0.308602,Matt 4:21 | Matt 4:22 | Matt 4:23,Mark 1:19 | Mark 1:20 | Mark 1:21
Matt 4:21,Matt 4:23,Mark 1:18,Mark 1:20,2,0.292183,Matt 4:21 | Matt 4:22 | Matt 4:23,Mark 1:18 | Mark 1:19 | Mark 1:20
Matt 4:21,Matt 4:23,Mark 1:17,Mark 1:19,3,0.234448,Matt 4:21 | Matt 4:22 | Matt 4:23,Mark 1:17 | Mark 1:18 | Mark 1:19
Matt 5:16,Matt 5:18,Mark 13:29,Mark 13:31,1,0.197987,Matt 5:16 | Matt 5:17 | Matt 5:18,Mark 13:29 | Mark 13:30 | Mark 13:31
Matt 5:16,Matt 5:18,Mark 13:30,Mark 13:32,2,0.160888,Matt 5:16 | Matt 5:17 | Matt 5:18,Mark 13:30 | Mark 13:31 | Mark 13:32
Matt 5:17,Matt 5:19,Mark 13:29,Mark 13:31,1,0.166447,Matt 5:17 | Matt 5:18 | Matt 5:19,Mark 13:29 | Mark 13:30 | Mark 13:31
Matt 5:18,Matt 5:20,Mark 13:29,Mark 13:31,1,0.178015,Matt 5:18 | Matt 5:19 | Matt 5:20,Mark 13:29 | Mark 13:30 | Mark 13:31
Matt 5:18,Matt 5:20,Mark 13:30,Mark 13:32,2,0.16642,Matt 5:18 | Matt 5:19 | Matt 5:20,Mark 13:30 | Mark 13:31 | Mark 13:32
Matt 5:31,Matt 5:33,Mark 10:10,Mark 10:12,1,0.183262,Matt 5:31 | Matt 5:32 | Matt 5:33,Mark 10:10 | Mark 10:11 | Mark 10:12
Matt 5:31,Matt 5:33,Mark 10:9,Mark 10:11,2,0.16894,Matt 5:31 | Matt 5:32 | Matt 5:33,Mark 10:9 | Mark 10:10 | Mark 10:11
Matt 5:32,Matt 5:34,Mark 10:9,Mark 10:11,1,0.166333,Matt 5:32 | Matt 5:33 | Matt 5:34,Mark 10:9 | Mark 10:10 | Mark 10:11
Matt 7:1,Matt 7:3,Mark 4:23,Mark 4:25,1,0.163409,Matt 7:1 | Matt 7:2 | Matt 7:3,Mark 4:23 | Mark 4:24 | Mark 4:25
Matt 7:27,Matt 7:29,Mark 1:22,Mark 1:24,1,0.231334,Matt 7:27 | Matt 7:28 | Matt 7:29,Mark 1:22 | Mark 1:23 | Mark 1:24
Matt 7:27,Matt 7:29,Mark 1:21,Mark 1:23,2,0.228951,Matt 7:27 | Matt 7:28 | Matt 7:29,Mark 1:21 | Mark 1:22 | Mark 1:23
Matt 7:27,Matt 7:29,Mark 1:20,Mark 1:22,3,0.217621,Matt 7:27 | Matt 7:28 | Matt 7:29,Mark 1:20 | Mark 1:21 | Mark 1:22
Matt 7:28,Matt 8:1,Mark 1:21,Mark 1:23,1,0.293032,Matt 7:28 | Matt 7:29 | Matt 8:1,Mark 1:21 | Mark 1:22 | Mark 1:23
Matt 7:28,Matt 8:1,Mark 1:22,Mark 1:24,2,0.279244,Matt 7:28 | Matt 7:29 | Matt 8:1,Mark 1:22 | Mark 1:23 | Mark 1:24
